Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
MOTORSTORM,Racing,Sony Computer Entertainment,T,Evolution Studios,8.2
WORLD SOCCER WINNING ELEVEN 8 INTERNATIONAL,Sports,Konami,E,Konami Computer Entertainment Tokyo,9.3
LEGO INDIANA JONES: THE ORIGINAL ADVENTURES,Adventure,LucasArts,E10,Traveller's Tales,7.5
THE SIMS: UNLEASHED,Simulation,Electronic Arts,T,Maxis,7.3
RATCHET & CLANK: SIZE MATTERS,Platform,Sony Computer Entertainment,E10,High Impact Games,8.5
POKEMON TRADING CARD GAME,Strategy,Nintendo,E,Hudson Soft,8.3
FIFA 17,Sports,Electronic Arts,E,EA Canada,8.8
SPYRO: YEAR OF THE DRAGON,Platform,Sony Computer Entertainment,E,Insomniac Games,9.1
THE LEGEND OF ZELDA: A LINK BETWEEN WORLDS,Adventure,Nintendo,E,Nintendo EAD,9.3
THE LEGEND OF ZELDA: SKYWARD SWORD,Adventure,Nintendo,T,Nintendo EAD,9.4
MIDNIGHT CLUB 3: DUB EDITION,Racing,Rockstar Games,E10,Rockstar Leeds,7.2
MYSIMS,Simulation,Electronic Arts,E,EA Redwood Shores,6.7
SOCOM: U.S. NAVY SEALS,Shooter,Sony Computer Entertainment,M,Zipper Interactive,8.0
JAK AND DAXTER: THE PRECURSOR LEGACY,Platform,Sony Computer Entertainment,E,Naughty Dog,9.0
POKEMON SNAP,Simulation,Nintendo,E,HAL Laboratory,7.9
GUITAR HERO: WORLD TOUR,Misc,Activision,T,Vicarious Visions,8.4
STAR WARS BATTLEFRONT,Shooter,LucasArts,T,Pandemic Studios,8.1
ASSASSIN'S CREED SYNDICATE,Action,Ubisoft,M,Ubisoft Quebec,8.6
COOKING MAMA 2: DINNER WITH FRIENDS,Simulation,Majesco,E,Office Create,6.9
CROC: LEGEND OF THE GOBBOS,Platform,Fox Interactive,E,Argonaut Games,7.6
GRAND THEFT AUTO: LIBERTY CITY STORIES,Action,Rockstar Games,M,Rockstar Leeds,8.3
THE GETAWAY,Action,Sony Computer Entertainment,M,Team Soho,7.7
SPYRO 2: RIPTO'S RAGE!,Platform,Sony Computer Entertainment,E,Insomniac Games,8.7
FABLE II,Role-Playing,Microsoft Game Studios,M,Lionhead Studios,9.0
WORLD OF WARCRAFT: THE BURNING CRUSADE,MMO,Blizzard Entertainment,T,Blizzard Entertainment,9.2
POKEMON MYSTERY DUNGEON: BLUE RESCUE TEAM,Role-Playing,Nintendo,E,ChunSoft,6.3
GUITAR HERO: ON TOUR,Misc,Activision,E10,Vicarious Visions,7.1
TEKKEN 4,Fighting,Namco,T,Namco,7.9
LITTLEBIGPLANET 2,Platform,Sony Computer Entertainment,E,Media Molecule,9.1
DESTINY,Shooter,Activision,T,Bungie,8.3
CRASH BASH,Misc,Sony Computer Entertainment,E,Eurocom Entertainment Software,6.8
TEKKEN: DARK RESURRECTION,Fighting,Namco Bandai,T,8ing/Raizing,8.7
THE LEGEND OF ZELDA: MAJORA'S MASK,Adventure,Nintendo,E,Nintendo EAD,9.3
YOSHI'S ISLAND DS,Platform,Nintendo,E,Artoon,8.2
BIG BRAIN ACADEMY: WII DEGREE,Misc,Nintendo,E,Nintendo EAD,7.1
ANIMAL CROSSING: HAPPY HOME DESIGNER,Simulation,Nintendo,E,Nintendo EAD,6.6
HALF-LIFE 2: EPISODE TWO,Shooter,Valve Software,M,Valve Corporation,9.1
TEKKEN,Fighting,Namco,T,Namco,8.3
FLASH FOCUS: VISION TRAINING IN MINUTES A DAY,Misc,Nintendo,E,Bandai Namco Games,6.1
007: TOMORROW NEVER DIES,Shooter,Electronic Arts,T,Black Ops Entertainment,6.2
WWF SMACKDOWN! 2: KNOW YOUR ROLE,Fighting,THQ,T,Yuke's,8.7
ASSASSIN'S CREED IV: BLACK FLAG,Action-Adventure,Ubisoft,M,Ubisoft Montreal,8.3
PERSONAL TRAINER: COOKING,Misc,Nintendo,E,Nintendo EAD,8.4
ASSASSIN'S CREED ODYSSEY,Action-Adventure,Ubisoft,M,Ubisoft Quebec,9.5
FALLOUT: NEW VEGAS,Role-Playing,Bethesda Softworks,M,Obsidian Entertainment,8.2
ACE COMBAT 04: SHATTERED SKIES,Simulation,Namco,E,Namco,8.9
SONIC HEROES,Platform,Sega,E,Sonic Team,6.6
CLUB PENGUIN: ELITE PENGUIN FORCE,Adventure,Disney Interactive Studios,E,1st Playable Productions,7.0
TOM CLANCY'S GHOST RECON WILDLANDS,Shooter,Ubisoft,M,Ubisoft Paris,7.0
MARIO PARTY 9,Party,Nintendo,E,"Nd Cube Co., Ltd.",6.5
HEAVY RAIN,Adventure,Sony Computer Entertainment,M,Quantic Dream,8.8
KUNG FU PANDA,Platform,Activision,E10,Luxoflux,7.5
NEW SUPER LUIGI U,Action,Nintendo,E,Nintendo,7.8
RHYTHM HEAVEN,Music,Nintendo,E,Nintendo SPD Group No.1,8.5
RAYMAN,Platform,Ubisoft,E,Ubisoft Montpellier,7.0
TOM CLANCY'S SPLINTER CELL,Action,Ubisoft,T,Ubisoft,9.3
PROFESSOR LAYTON AND THE UNWOUND FUTURE,Adventure,Nintendo,E10,Level 5,8.4
DISNEY EPIC MICKEY,Platform,Disney Interactive Studios,E,Junction Point Studios,7.0
KILLZONE 2,Shooter,Sony Computer Entertainment,M,Guerrilla Games,9.1
CRYSIS,Shooter,Electronic Arts,M,Crytek,9.2
FABLE,Role-Playing,Microsoft Game Studios,M,Big Blue Box,8.6
GEARS OF WAR 3,Shooter,Microsoft Studios,M,Epic Games,9.1
KINECT SPORTS,Sports,Microsoft Game Studios,E10,Rare Ltd.,7.4
SONIC AND THE SECRET RINGS,Platform,Sega,E,Sonic Team,6.7
SONIC RUSH,Platform,Sega,E,Dimps Corporation,7.8
THE LEGEND OF ZELDA: MAJORA'S MASK 3D,Action-Adventure,Nintendo,E10,GREZZO,9.0
WARCRAFT II: TIDES OF DARKNESS,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,9.3
KIRBY SUPER STAR ULTRA,Platform,Nintendo,E,HAL Laboratory,7.3
MARIO VS. DONKEY KONG: MINI-LAND MAYHEM!,Puzzle,Nintendo,E,Nintendo Software Technology Corporation,7.8
STYLE SAVVY,Simulation,Nintendo,E,syn Sophia,7.6
STAR WARS: THE OLD REPUBLIC,Role-Playing,Electronic Arts,T,BioWare / LucasArts,8.4
THE LEGEND OF ZELDA: SPIRIT TRACKS,Adventure,Nintendo,E10,Nintendo EAD,8.7
WAVE RACE 64,Racing,Nintendo,E,Nintendo EAD,9.2
POKEMON RANGER,Role-Playing,Nintendo,E,HAL Laboratory,6.6
SUPER MARIO MAKER,Platform,Nintendo,E,Nintendo,7.3
FIFA 15,Sports,EA Sports,E,EA Canada,6.9
